,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
Administrative,1.0,0.6015833421250226,0.3768504293073085,0.25584814023262603,0.43111933962453475,0.37393901295967064,-0.22356263038422594,-0.3164829975272521,0.09898958539971277,-0.09477759754428257,0.13891709415067252
Administrative_Duration,0.6015833421250226,1.0,0.3027097089757625,0.23803078935000088,0.2890866214062173,0.35542195350163014,-0.14417040950711418,-0.20579775727445548,0.06760848087034964,-0.07330372492126022,0.09358671905704198
Informational,0.3768504293073085,0.3027097089757625,1.0,0.6189548617814573,0.3741642906577265,0.3875053062598626,-0.11611361638719091,-0.1636660607845007,0.048631691953743394,-0.04821925398952802,0.0952003425720571
Informational_Duration,0.25584814023262603,0.23803078935000088,0.6189548617814573,1.0,0.28004626785919684,0.3473635774464961,-0.07406660989572071,-0.1052756833478731,0.030860873716780254,-0.030576549486372003,0.07034450234598345
ProductRelated,0.43111933962453475,0.2890866214062173,0.3741642906577265,0.28004626785919684,1.0,0.8609268361763707,-0.20457763335075316,-0.29252628311358025,0.05628179410884894,-0.02395817472400519,0.1585379842808741
ProductRelated_Duration,0.37393901295967064,0.35542195350163014,0.3875053062598626,0.3473635774464961,0.8609268361763707,1.0,-0.18454111529428474,-0.2519840974061049,0.052823062950144,-0.03637984509738724,0.15237261055701054
BounceRates,-0.22356263038422594,-0.14417040950711418,-0.11611361638719091,-0.07406660989572071,-0.20457763335075316,-0.18454111529428474,1.0,0.9130043961815185,-0.11938602629479486,0.0727022530825555,-0.1506729119260533
ExitRates,-0.3164829975272521,-0.20579775727445548,-0.1636660607845007,-0.1052756833478731,-0.29252628311358025,-0.2519840974061049,0.9130043961815185,1.0,-0.17449831000178184,0.10224180209857663,-0.2070710820552722
PageValues,0.09898958539971277,0.06760848087034964,0.048631691953743394,0.030860873716780254,0.05628179410884894,0.052823062950144,-0.11938602629479486,-0.17449831000178184,1.0,-0.06354127178534998,0.49256929525120574
SpecialDay,-0.09477759754428257,-0.07330372492126022,-0.04821925398952802,-0.030576549486372003,-0.02395817472400519,-0.03637984509738724,0.0727022530825555,0.10224180209857663,-0.06354127178534998,1.0,-0.08230459817953152
Revenue,0.13891709415067252,0.09358671905704198,0.0952003425720571,0.07034450234598345,0.1585379842808741,0.15237261055701054,-0.1506729119260533,-0.2070710820552722,0.49256929525120574,-0.08230459817953152,1.0
