Feature,Selection_Frequency
BounceRates,3
Page_Value_Per_Product,3
PageValues_sqrt,3
BounceRates_log,3
ExitRates_squared,3
ExitRates_log,3
PageValues_log,3
ExitRates,3
ExitRates_sqrt,3
BounceRates_sqrt,2
Bounce_Exit_Interaction,2
Session_Quality_Score,2
PageValues,2
PageValues_squared,2
ProductRelated_Duration,2
ExitRates_cubed,2
Total_Duration,2
Month_Sep,1
BounceRates_squared,1
Month_Feb,1
Month_Oct,1
Avg_Duration_Per_Page,1
Administrative,1
PageValues_cubed,1
Month_May,1
Month_June,1
Month_Jul,1
VisitorType_Returning_Visitor,1
Weekend_True,1
ProductRelated,1
Month_Numeric,1
BounceRates_cubed,1
Month_Nov,1
Month_Dec,1
