Feature,Importance_Score
Session_Quality_Score,0.08484387672343875
PageValues_log,0.020579886455798845
Page_Value_Per_Product,0.009357258718572547
Month_Nov,0.007552716950527139
Administrative,0.005707623682076201
PageValues_sqrt,0.002737226277372229
VisitorType_Returning_Visitor,0.0015409570154095386
ProductRelated,0.0014294403892943675
ProductRelated_Duration,0.0014091646390916091
Total_Duration,0.0013381995133819546
Administrative_Duration,0.001297648012976449
TrafficType,0.0011861313868612555
Avg_Duration_Per_Page,0.0006995133819950982
ExitRates_sqrt,0.0006690997566909829
Product_Admin_Ratio,0.0005981346309813062
ExitRates_squared,0.00040551500405513476
Duration_Ratio,0.0003446877534468595
Admin_Info_Interaction,0.00032441200324413445
ExitRates_cubed,0.0002128953771289188
BounceRates_cubed,0.00019261962692620482
Browser,0.0001317923763179296
Month_Mar,0.00013179237631791852
PageValues_cubed,0.00012165450121653931
Informational_Duration,8.110300081103361e-05
OperatingSystems,6.0827250608275206e-05
Month_May,4.0551500405516806e-05
Month_June,0.0
Informational,0.0
BounceRates,0.0
Region,0.0
SpecialDay,0.0
Weekend_True,0.0
VisitorType_Other,0.0
Month_Oct,0.0
Month_Jul,0.0
BounceRates_sqrt,0.0
BounceRates_squared,0.0
Month_Feb,0.0
Month_Dec,0.0
Month_Sep,-1.0137875101379202e-05
ExitRates,-0.00011151662611517122
BounceRates_log,-0.00015206812652068802
Bounce_Exit_Interaction,-0.00024330900243310082
ExitRates_log,-0.00025344687753448003
Month_Numeric,-0.0002635847526358592
PageValues_squared,-0.00030413625304137604
PageValues,-0.0008515815085158529
