Component,Explained_Variance_Ratio,Cumulative_Variance
1,0.23380439482856633,0.23380439482856633
2,0.10406656617752656,0.3378709610060929
3,0.08916398820234779,0.42703494920844065
4,0.05088630223753679,0.4779212514459774
5,0.04393019216367657,0.521851443609654
6,0.03797514303431884,0.5598265866439728
7,0.034470803436109455,0.5942973900800822
8,0.03112041375445688,0.625417803834539
9,0.025982114638505298,0.6513999184730443
10,0.025328109520808037,0.6767280279938523
11,0.02376079048858668,0.700488818482439
12,0.022493248477658743,0.7229820669600978
13,0.02236975239476166,0.7453518193548595
14,0.02219544914672168,0.7675472685015812
15,0.022031844659077218,0.7895791131606584
16,0.021470087108934728,0.8110492002695932
17,0.020472349112073466,0.8315215493816667
18,0.02010607483448235,0.851627624216149
19,0.019315544828267566,0.8709431690444166
20,0.01775301678278741,0.888696185827204
21,0.015885036244883226,0.9045812220720872
22,0.013222209094983247,0.9178034311670705
23,0.0129420443509461,0.9307454755180167
24,0.012213110508633607,0.9429585860266503
25,0.010007593065267668,0.9529661790919179
26,0.009518603415324275,0.9624847825072422
27,0.008827902310346735,0.9713126848175889
28,0.006408913094189584,0.9777215979117785
29,0.004988287177745685,0.9827098850895242
30,0.004581662586591904,0.987291547676116
31,0.0036801697106325294,0.9909717173867486
32,0.0034369873266911453,0.9944087047134398
33,0.002162347074618466,0.9965710517880583
34,0.0013248597078965552,0.9978959114959548
35,0.0009070232255180202,0.9988029347214729
36,0.0006944670029590125,0.9994974017244319
37,0.00027928871344487115,0.9997766904378768
38,0.00011173549006464385,0.9998884259279414
39,7.787445365285322e-05,0.9999663003815942
40,2.472477224915219e-05,0.9999910251538433
41,5.005829636237802e-06,0.9999960309834796
42,2.551626926569971e-06,0.9999985826104061
43,1.4173875049023465e-06,0.999999999997911
44,1.397118367886029e-12,0.9999999999993081
45,6.920308531622474e-13,1.0000000000000002
46,0.0,1.0000000000000002
47,0.0,1.0000000000000002
